######################################################################
#
# XLX live Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
#  If you like to use your XLX as a DCS Reflector,
#  please use an XLX number higher than 034.
#  DCS001 – 034 is used by the German D-Star developer team !!!
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 22.11.2022
#
###################################################################### 

#
# XLX-DCS Reflectors
#
DCS000	45.62.230.56
XRF518	176.9.1.168
XRF519	104.152.208.69
XRF520	44.159.15.1
XRF522	103.197.58.223
XRF523	42.191.226.230
XRF530	119.224.19.178
XRF531	149.28.170.145
XRF533	139.224.207.157
XRF534	210.14.26.149
XRF535	203.159.93.71
XRF538	180.235.55.253
XRF543	161.97.112.218
XRF545	3.215.215.169
XRF546	137.184.40.84
XRF547	45.32.136.100
XRF550	178.62.80.22
XRF553	45.79.92.86
XRF555	77.3.8.66
XRF558	141.95.67.138
XRF559	5.185.12.29
XRF560	150.66.42.72
XRF561	128.22.133.152
XRF567	157.245.59.253
XRF568	175.163.81.95
XRF570	44.56.160.2
XRF571	186.29.69.77
XRF575	207.251.56.142
XRF580	153.194.17.196
XRF583	211.132.52.116
XRF585	213.212.133.250
XRF586	213.254.10.35
XRF587	104.8.207.66
XRF588	72.175.186.98
XRF590	163.58.70.135
XRF599	150.66.25.83
XRF600	161.97.181.4
XRF601	216.128.147.17
XRF602	212.56.100.200
XRF603	91.238.117.123
XRF604	139.162.241.24
XRF605	82.146.32.23
XRF606	62.3.64.165
XRF607	143.110.231.93
XRF608	219.122.253.83
XRF610	213.21.184.66
XRF612	185.231.245.31
XRF613	198.50.202.39
XRF616	103.156.68.246
XRF619	167.99.168.82
XRF620	61.195.108.241
XRF621	50.37.122.190
XRF622	209.182.218.92
XRF625	68.55.78.195
XRF626	158.101.149.128
XRF630	61.195.125.81
XRF632	64.91.238.36
XRF633	75.135.199.237
XRF634	150.66.9.57
XRF636	77.38.191.5
XRF645	34.196.134.215
XRF650	118.111.15.125
XRF651	104.143.94.48
XRF655	146.64.235.19
XRF659	104.131.106.247
XRF660	150.31.135.76
XRF661	210.203.214.9
XRF662	72.17.20.173
XRF666	95.179.179.175
XRF672	213.171.214.2
XRF673	180.147.243.178
XRF678	132.145.76.107
XRF679	45.79.180.62
XRF680	114.154.219.236
XRF683	198.46.160.211
XRF684	80.211.167.192
XRF687	47.186.91.168
XRF688	54.89.57.238
XRF689	97.107.128.47
XRF691	58.82.172.177
XRF698	203.137.123.89
XRF699	82.102.5.239
XRF700	83.85.167.55
XRF701	61.195.107.77
XRF704	150.66.34.110
XRF705	128.22.134.161
XRF706	93.186.255.126
XRF707	90.145.156.242
XRF708	150.66.20.222
XRF710	209.126.0.55
XRF713	218.251.63.99
XRF714	81.169.158.155
XRF715	92.187.244.245
XRF716	190.117.233.28
XRF718	45.77.142.226
XRF720	74.91.118.134
XRF721	184.56.164.214
XRF722	155.138.200.207
XRF723	62.38.192.143
XRF724	189.56.29.14
XRF727	143.198.216.15
XRF729	136.243.236.116
XRF730	186.64.123.59
XRF733	3.130.19.193
XRF734	75.135.150.224
XRF737	83.212.170.243
XRF738	153.127.23.8
XRF741	203.137.78.41
XRF745	122.249.179.68
XRF747	78.47.190.213
XRF748	142.47.103.44
XRF749	45.76.252.9
XRF750	203.86.206.49
XRF751	67.219.106.141
XRF752	62.171.154.188
XRF753	202.218.157.116
XRF755	89.234.155.6
XRF757	107.191.121.105
XRF760	47.39.85.94
XRF762	129.21.36.65
XRF763	20.245.98.187
XRF765	153.126.212.136
XRF766	201.62.48.61
XRF768	80.211.15.21
XRF770	153.126.173.9
XRF771	220.123.96.162
XRF772	146.56.185.110
XRF773	89.46.75.166
XRF774	44.31.14.30
XRF776	118.27.28.16
XRF777	194.182.80.219
XRF778	77.237.7.125
XRF781	101.143.242.199
XRF782	74.221.69.75
XRF787	46.41.1.96
XRF789	45.33.119.142
XRF792	74.211.111.70
XRF794	150.66.33.93
XRF795	213.91.190.32
XRF797	150.66.44.81
XRF799	37.143.206.229
XRF800	87.252.188.119
XRF801	80.108.239.88
XRF802	188.22.125.84
XRF803	77.117.134.206
XRF806	188.63.22.20
XRF807	116.91.197.3
XRF808	18.220.252.27
XRF810	71.41.121.228
XRF812	203.145.233.141
XRF813	139.186.161.29
XRF815	23.237.17.85
XRF816	35.199.38.36
XRF817	35.245.186.199
XRF818	188.166.226.76
XRF819	69.51.231.196
XRF822	103.76.180.131
XRF823	185.78.167.150
XRF824	47.206.37.226
XRF826	47.206.37.227
XRF827	207.148.3.18
XRF828	195.225.116.244
XRF829	75.115.219.194
XRF830	104.238.146.84
XRF835	45.32.82.218
XRF838	185.166.212.132
XRF841	119.199.235.196
XRF842	66.175.219.129
XRF844	137.226.79.122
XRF850	116.203.56.12
XRF852	1.36.248.207
XRF854	210.236.124.83
XRF855	87.154.23.129
XRF858	185.170.215.146
XRF860	24.134.86.93
XRF861	172.105.26.148
XRF862	93.56.202.205
XRF866	84.150.114.3
XRF870	185.78.196.20
XRF878	203.137.123.113
XRF880	213.171.208.97
XRF881	137.220.96.242
XRF882	172.105.19.52
XRF886	118.163.103.178
XRF887	118.163.103.177
XRF888	85.214.239.189
XRF889	18.188.148.180
XRF891	209.251.60.131
XRF893	153.233.251.158
XRF894	150.66.19.140
XRF899	77.68.30.160
XRF901	91.126.242.39
XRF902	104.6.229.93
XRF903	80.211.29.226
XRF904	150.66.5.57
XRF905	94.199.173.123
XRF907	81.34.187.92
XRF909	216.86.147.198
XRF910	138.128.240.100
XRF911	128.199.239.91
XRF912	80.211.1.143
XRF913	68.169.168.101
XRF914	92.57.47.187
XRF919	128.199.235.93
XRF920	18.217.73.9
XRF922	81.150.10.62
XRF923	155.138.197.71
XRF924	142.93.44.244
XRF930	80.211.133.104
XRF933	152.228.170.6
XRF934	79.62.11.22
XRF936	152.67.100.199
XRF937	81.25.49.85
XRF938	46.32.62.49
XRF940	202.218.37.121
XRF944	202.218.34.210
XRF945	213.202.229.40
XRF947	85.214.61.75
XRF948	46.101.36.246
XRF949	149.248.3.1
XRF950	158.64.26.134
XRF951	18.188.166.109
XRF954	188.192.134.65
XRF956	217.145.102.74
XRF957	87.106.228.96
XRF958	79.31.38.250
XRF959	203.137.98.121
XRF960	104.153.109.233
XRF963	108.61.205.139
XRF964	52.173.142.244
XRF965	80.211.190.216
XRF969	45.72.190.123
XRF972	109.226.48.53
XRF974	94.177.217.52
XRF976	80.12.83.150
XRF977	159.242.127.220
XRF978	3.96.107.200
XRF979	64.253.75.30
XRF980	68.183.63.188
XRF981	44.198.63.189
XRF982	68.36.33.45
XRF983	45.76.228.241
XRF985	137.74.170.168
XRF986	202.61.251.72
XRF987	158.140.45.77
XRF988	211.14.169.43
XRF989	50.25.201.67
XRF990	116.80.84.230
XRF991	93.70.217.152
XRF992	116.203.122.135
XRF994	95.179.231.28
XRF997	94.177.187.40
XRF998	75.60.111.137
XRF999	94.177.173.53
XRFA51	159.65.190.18
XRFARG	45.62.246.55
XRFCFR	45.62.229.77
XRFCZE	46.28.109.166
XRFDS6	142.47.109.166
XRFDVM	212.237.34.32
XRFFEI	88.105.46.59
XRFGUS	45.62.249.150
XRFHBN	139.144.30.222
XRFHKG	42.98.121.155
XRFHP3	198.211.29.4
XRFILS	216.176.97.46
XRFITA	46.226.178.85
XRFJAR	45.33.85.235
XRFJPN	152.117.141.6
XRFLEF	77.68.25.66
XRFNLD	90.145.156.214
XRFNRW	178.202.110.145
XRFOKL	72.206.35.5
XRFOSK	121.93.123.128
XRFPRP	18.222.190.27
XRFPTA	206.189.17.7
XRFRC1	91.192.92.181
XRFRUS	45.147.178.46
XRFSAT	149.28.241.139
XRFTHA	203.150.19.24
XRFTRK	130.61.84.77
XRFTYO	43.233.8.33
XRFUDN	133.123.200.220
XRFUFO	45.92.44.45
XRFUMB	79.23.185.18
XRFUS1	34.75.201.117
XRFUS2	34.68.104.251
XRFUS3	34.125.157.223
XRFUS4	34.94.168.67
XRFUS5	35.235.109.69
XRFUSA	35.232.145.123
XRFVPS	44.31.5.10
XRFWDG	149.28.200.232
XRFWIT	85.214.232.205
XRFWLF	217.160.144.235
XRFWVV	104.238.170.124
XRFYYP	183.176.193.109
XRFZTA	75.74.122.203
XRFZZZ	45.62.230.27
#
# XLX-REF Reflectors
#
REF000	45.62.230.56
REF001	80.211.62.178
REF002	140.82.62.162
REF003	173.199.124.183
REF004	44.103.34.3
REF005	87.117.229.51
REF006	162.55.61.122
REF007	44.137.42.27
REF008	45.77.153.132
REF009	118.150.164.96
REF010	85.197.129.86
REF011	81.95.126.168
REF012	46.41.2.20
REF013	18.188.189.124
REF014	52.63.223.130
REF015	194.59.205.228
REF016	150.66.42.17
REF017	191.162.172.183
REF018	161.97.73.43
REF019	31.7.247.58
REF020	66.175.215.217
REF021	148.251.94.163
REF022	83.137.45.98
REF023	77.85.192.94
REF024	37.102.122.254
REF025	89.38.150.252
REF026	209.42.149.140
REF027	198.12.71.101
REF028	216.128.130.30
REF029	3.129.150.138
REF030	194.59.177.44
REF031	201.62.48.60
REF032	158.64.26.140
REF033	152.228.170.16
REF034	176.121.81.54
REF035	45.79.94.184
REF036	101.89.136.112
REF037	198.100.154.155
REF038	44.103.34.19
REF039	212.237.3.90
REF040	185.11.166.85
REF041	66.30.219.127
REF043	206.189.239.225
REF044	45.33.92.245
REF045	70.44.20.24
REF046	190.54.137.189
REF047	202.171.147.58
REF048	209.141.41.253
REF049	212.71.234.224
REF050	140.82.51.26
REF051	93.186.254.219
REF052	128.22.149.69
REF053	10.49.243.18
REF054	208.104.55.181
REF055	52.80.4.154
REF056	66.42.126.197
REF057	216.84.141.161
REF058	150.66.16.176
REF059	18.219.32.21
REF060	45.76.133.116
REF061	192.248.160.49
REF063	93.49.253.148
REF064	122.222.1.50
REF065	74.130.9.190
REF066	47.100.164.89
REF067	140.228.144.142
REF068	92.222.145.202
REF069	51.77.213.200
REF070	18.130.199.150
REF071	211.60.41.185
REF072	45.22.199.201
REF073	45.77.192.120
REF074	222.128.4.82
REF076	203.137.116.117
REF077	47.87.214.77
REF078	18.236.66.239
REF079	211.42.152.122
REF080	180.144.16.178
REF081	112.71.222.105
REF082	93.51.103.229
REF084	136.244.64.57
REF085	113.150.26.8
REF086	140.179.13.243
REF088	44.137.37.242
REF089	66.59.196.12
REF090	18.234.51.231
REF091	82.223.20.103
REF092	80.211.182.156
REF093	87.1.30.33
REF095	203.137.76.53
REF096	121.145.136.53
REF098	119.238.109.217
REF099	80.211.27.75
REF100	45.62.232.11
REF101	45.62.250.202
REF102	24.172.229.151
REF103	24.172.229.152
REF104	24.172.229.153
REF105	51.254.99.78
REF106	68.51.221.108
REF107	114.115.167.98
REF108	60.84.77.81
REF109	182.168.253.90
REF110	140.82.14.24
REF111	61.195.96.160
REF112	82.223.54.35
REF113	115.159.93.156
REF114	164.90.140.111
REF115	217.182.128.3
REF116	80.211.90.242
REF117	200.108.249.62
REF118	5.249.148.252
REF119	23.234.239.179
REF120	129.123.74.133
REF121	44.31.111.121
REF122	194.37.80.40
REF123	140.238.89.106
REF124	211.14.169.234
REF125	213.181.208.52
REF126	217.173.179.95
REF128	75.166.166.47
REF129	150.66.36.114
REF130	81.231.241.25
REF131	45.80.171.194
REF132	91.203.55.87
REF133	62.220.129.89
REF136	114.157.146.54
REF137	66.85.173.37
REF138	103.195.7.20
REF139	66.42.93.25
REF140	95.211.211.145
REF141	3.19.122.217
REF144	54.188.28.93
REF145	70.15.39.11
REF147	124.123.68.50
REF148	122.154.141.51
REF149	122.154.140.136
REF150	192.241.158.197
REF151	159.203.105.64
REF154	153.179.231.210
REF155	217.182.156.151
REF156	18.233.216.229
REF160	61.195.109.179
REF162	212.91.190.81
REF163	45.143.93.75
REF165	79.107.239.187
REF171	194.87.145.34
REF174	81.169.128.244
REF175	162.248.92.25
REF176	128.22.152.69
REF177	51.77.151.223
REF178	178.251.180.150
REF180	192.241.240.7
REF181	108.61.242.174
REF182	121.176.76.170
REF183	45.32.75.47
REF186	111.202.44.36
REF190	190.194.12.53
REF191	153.92.4.97
REF192	118.27.9.127
REF197	44.184.136.20
REF199	82.29.37.151
REF200	44.31.61.66
REF201	157.245.45.67
REF202	37.59.36.82
REF204	77.162.87.115
REF207	153.37.53.239
REF208	213.186.34.50
REF209	173.247.7.157
REF210	161.97.169.233
REF211	47.110.34.230
REF212	52.38.90.188
REF214	80.211.94.145
REF215	207.246.95.65
REF216	74.214.25.135
REF218	51.222.85.251
REF219	3.225.138.100
REF220	164.70.120.126
REF221	44.103.34.21
REF222	93.186.251.81
REF223	87.106.152.249
REF224	203.137.99.97
REF225	61.195.108.252
REF227	89.33.44.100
REF228	51.68.191.218
REF229	195.49.75.204
REF230	80.250.3.114
REF231	217.133.15.187
REF232	89.185.97.35
REF234	95.179.236.76
REF235	194.146.49.33
REF236	209.190.4.10
REF237	74.196.158.133
REF238	95.154.31.11
REF239	149.28.115.164
REF240	75.39.2.11
REF241	51.83.98.154
REF242	66.42.84.85
REF244	72.14.187.79
REF245	192.248.165.35
REF246	172.93.48.159
REF247	136.244.97.211
REF248	81.150.15.15
REF250	85.208.48.207
REF254	184.82.175.101
REF255	142.91.158.199
REF256	162.238.214.18
REF257	45.89.88.118
REF258	45.22.199.202
REF259	149.202.75.50
REF260	54.37.138.47
REF262	92.194.132.135
REF263	85.214.92.118
REF264	52.2.131.118
REF266	62.171.178.202
REF267	91.209.16.180
REF268	185.11.166.22
REF269	198.245.55.177
REF270	158.64.26.132
REF271	217.61.23.253
REF272	69.164.222.129
REF277	63.78.117.77
REF280	95.246.114.98
REF281	74.91.126.68
REF284	85.187.70.88
REF286	93.186.113.147
REF287	66.42.109.165
REF288	172.112.239.190
REF289	76.144.206.116
REF290	44.182.7.20
REF291	101.143.242.189
REF295	74.208.48.179
REF298	122.133.153.185
REF299	202.36.45.107
REF300	64.227.109.134
REF301	124.187.44.129
REF302	144.217.241.23
REF303	75.70.52.143
REF304	142.93.246.87
REF305	178.250.54.203
REF306	66.37.140.152
REF307	72.21.76.154
REF308	18.117.43.70
REF309	198.74.54.133
REF311	88.99.242.33
REF312	192.241.160.183
REF313	34.213.108.164
REF314	186.18.41.172
REF315	73.111.54.112
REF316	68.102.142.116
REF320	162.203.31.194
REF321	44.169.1.30
REF322	76.219.234.40
REF323	76.128.198.150
REF325	168.235.80.185
REF326	61.195.125.193
REF327	104.238.156.182
REF328	212.237.33.114
REF329	60.47.228.78
REF330	23.129.32.82
REF332	188.213.168.99
REF333	46.149.220.118
REF334	96.47.95.121
REF335	76.20.215.85
REF336	23.226.233.133
REF337	20.118.24.47
REF338	220.135.221.114
REF339	178.254.30.57
REF345	212.114.109.209
REF350	180.21.181.9
REF351	45.33.127.97
REF353	44.155.254.12
REF355	91.146.254.54
REF356	217.174.61.117
REF359	94.156.172.213
REF362	198.166.220.68
REF364	159.65.231.53
REF365	222.6.234.205
REF367	18.216.66.72
REF369	72.89.122.8
REF370	188.213.168.24
REF371	212.237.8.77
REF373	218.251.42.130
REF374	68.183.19.139
REF375	86.57.150.4
REF376	149.28.166.59
REF377	186.159.96.100
REF379	74.91.117.153
REF381	74.91.114.100
REF382	210.188.60.150
REF383	157.90.255.94
REF385	141.138.10.86
REF386	23.101.123.22
REF387	209.250.237.53
REF388	162.248.93.241
REF389	45.32.218.174
REF391	185.82.114.246
REF395	95.255.196.50
REF400	18.189.232.40
REF404	91.229.143.187
REF405	172.105.11.104
REF406	45.62.229.114
REF407	68.204.65.187
REF408	45.62.246.122
REF410	162.209.78.83
REF411	45.19.176.12
REF412	61.195.107.113
REF414	66.42.113.132
REF416	70.49.56.192
REF417	142.113.158.223
REF418	138.197.136.190
REF419	144.202.60.46
REF420	44.207.228.173
REF421	178.254.33.188
REF422	91.36.173.36
REF423	155.138.197.71
REF425	78.121.109.81
REF427	68.230.147.59
REF430	27.93.26.85
REF431	61.195.98.225
REF432	103.4.234.160
REF434	51.254.128.134
REF435	128.22.130.154
REF436	183.77.38.232
REF437	133.242.137.76
REF439	79.42.246.218
REF440	218.251.80.22
REF441	203.137.99.110
REF444	51.83.46.75
REF445	18.221.229.191
REF446	75.187.166.206
REF448	66.206.51.107
REF449	75.68.41.0
REF450	220.71.19.222
REF453	61.239.171.240
REF454	218.103.102.5
REF455	208.71.169.83
REF456	54.37.205.183
REF459	150.66.16.108
REF460	87.14.251.133
REF466	155.138.228.137
REF467	153.126.179.214
REF469	70.35.240.23
REF470	104.153.108.131
REF475	118.27.35.184
REF476	171.33.84.7
REF477	185.215.215.156
REF478	52.15.234.145
REF479	198.58.106.10
REF480	95.179.145.178
REF483	74.91.117.184
REF485	138.68.167.167
REF486	51.91.109.81
REF493	104.218.221.46
REF499	203.137.76.22
REF500	44.136.58.10
REF501	198.211.98.63
REF503	179.51.0.153
REF504	200.52.151.155
REF505	45.248.50.37
REF507	190.123.237.11
REF508	185.188.4.15
REF510	61.195.126.75
REF511	93.103.146.221
REF512	155.138.252.251
REF514	203.137.118.143
REF515	203.137.78.35
REF516	47.100.29.86
REF518	176.9.1.168
REF519	104.152.208.69
REF520	44.159.15.1
REF522	103.197.58.223
REF523	42.191.226.230
REF530	119.224.19.178
REF531	149.28.170.145
REF533	139.224.207.157
REF534	210.14.26.149
REF535	203.159.93.71
REF538	180.235.55.253
REF543	161.97.112.218
REF545	3.215.215.169
REF546	137.184.40.84
REF547	45.32.136.100
REF550	178.62.80.22
REF553	45.79.92.86
REF555	77.3.8.66
REF558	141.95.67.138
REF559	5.185.12.29
REF560	150.66.42.72
REF561	128.22.133.152
REF567	157.245.59.253
REF568	175.163.81.95
REF570	44.56.160.2
REF571	186.29.69.77
REF575	207.251.56.142
REF580	153.194.17.196
REF583	211.132.52.116
REF585	213.212.133.250
REF586	213.254.10.35
REF587	104.8.207.66
REF588	72.175.186.98
REF590	163.58.70.135
REF599	150.66.25.83
REF600	161.97.181.4
REF601	216.128.147.17
REF602	212.56.100.200
REF603	91.238.117.123
REF604	139.162.241.24
REF605	82.146.32.23
REF606	62.3.64.165
REF607	143.110.231.93
REF608	219.122.253.83
REF610	213.21.184.66
REF612	185.231.245.31
REF613	198.50.202.39
REF616	103.156.68.246
REF619	167.99.168.82
REF620	61.195.108.241
REF621	50.37.122.190
REF622	209.182.218.92
REF625	68.55.78.195
REF626	158.101.149.128
REF630	61.195.125.81
REF632	64.91.238.36
REF633	75.135.199.237
REF634	150.66.9.57
REF636	77.38.191.5
REF645	34.196.134.215
REF650	118.111.15.125
REF651	104.143.94.48
REF655	146.64.235.19
REF659	104.131.106.247
REF660	150.31.135.76
REF661	210.203.214.9
REF662	72.17.20.173
REF666	95.179.179.175
REF672	213.171.214.2
REF673	180.147.243.178
REF678	132.145.76.107
REF679	45.79.180.62
REF680	114.154.219.236
REF683	198.46.160.211
REF684	80.211.167.192
REF687	47.186.91.168
REF688	54.89.57.238
REF689	97.107.128.47
REF691	58.82.172.177
REF698	203.137.123.89
REF699	82.102.5.239
REF700	83.85.167.55
REF701	61.195.107.77
REF704	150.66.34.110
REF705	128.22.134.161
REF706	93.186.255.126
REF707	90.145.156.242
REF708	150.66.20.222
REF710	209.126.0.55
REF713	218.251.63.99
REF714	81.169.158.155
REF715	92.187.244.245
REF716	190.117.233.28
REF718	45.77.142.226
REF720	74.91.118.134
REF721	184.56.164.214
REF722	155.138.200.207
REF723	62.38.192.143
REF724	189.56.29.14
REF727	143.198.216.15
REF729	136.243.236.116
REF730	186.64.123.59
REF733	3.130.19.193
REF734	75.135.150.224
REF737	83.212.170.243
REF738	153.127.23.8
REF741	203.137.78.41
REF745	122.249.179.68
REF747	78.47.190.213
REF748	142.47.103.44
REF749	45.76.252.9
REF750	203.86.206.49
REF751	67.219.106.141
REF752	62.171.154.188
REF753	202.218.157.116
REF755	89.234.155.6
REF757	107.191.121.105
REF760	47.39.85.94
REF762	129.21.36.65
REF763	20.245.98.187
REF765	153.126.212.136
REF766	201.62.48.61
REF768	80.211.15.21
REF770	153.126.173.9
REF771	220.123.96.162
REF772	146.56.185.110
REF773	89.46.75.166
REF774	44.31.14.30
REF776	118.27.28.16
REF777	194.182.80.219
REF778	77.237.7.125
REF781	101.143.242.199
REF782	74.221.69.75
REF787	46.41.1.96
REF789	45.33.119.142
REF792	74.211.111.70
REF794	150.66.33.93
REF795	213.91.190.32
REF797	150.66.44.81
REF799	37.143.206.229
REF800	87.252.188.119
REF801	80.108.239.88
REF802	188.22.125.84
REF803	77.117.134.206
REF806	188.63.22.20
REF807	116.91.197.3
REF808	18.220.252.27
REF810	71.41.121.228
REF812	203.145.233.141
REF813	139.186.161.29
REF815	23.237.17.85
REF816	35.199.38.36
REF817	35.245.186.199
REF818	188.166.226.76
REF819	69.51.231.196
REF822	103.76.180.131
REF823	185.78.167.150
REF824	47.206.37.226
REF826	47.206.37.227
REF827	207.148.3.18
REF828	195.225.116.244
REF829	75.115.219.194
REF830	104.238.146.84
REF835	45.32.82.218
REF838	185.166.212.132
REF841	119.199.235.196
REF842	66.175.219.129
REF844	137.226.79.122
REF850	116.203.56.12
REF852	1.36.248.207
REF854	210.236.124.83
REF855	87.154.23.129
REF858	185.170.215.146
REF860	24.134.86.93
REF861	172.105.26.148
REF862	93.56.202.205
REF866	84.150.114.3
REF870	185.78.196.20
REF878	203.137.123.113
REF880	213.171.208.97
REF881	137.220.96.242
REF882	172.105.19.52
REF886	118.163.103.178
REF887	118.163.103.177
REF888	85.214.239.189
REF889	18.188.148.180
REF891	209.251.60.131
REF893	153.233.251.158
REF894	150.66.19.140
REF899	77.68.30.160
REF901	91.126.242.39
REF902	104.6.229.93
REF903	80.211.29.226
REF904	150.66.5.57
REF905	94.199.173.123
REF907	81.34.187.92
REF909	216.86.147.198
REF910	138.128.240.100
REF911	128.199.239.91
REF912	80.211.1.143
REF913	68.169.168.101
REF914	92.57.47.187
REF919	128.199.235.93
REF920	18.217.73.9
REF922	81.150.10.62
REF923	155.138.197.71
REF924	142.93.44.244
REF930	80.211.133.104
REF933	152.228.170.6
REF934	79.62.11.22
REF936	152.67.100.199
REF937	81.25.49.85
REF938	46.32.62.49
REF940	202.218.37.121
REF944	202.218.34.210
REF945	213.202.229.40
REF947	85.214.61.75
REF948	46.101.36.246
REF949	149.248.3.1
REF950	158.64.26.134
REF951	18.188.166.109
REF954	188.192.134.65
REF956	217.145.102.74
REF957	87.106.228.96
REF958	79.31.38.250
REF959	203.137.98.121
REF960	104.153.109.233
REF963	108.61.205.139
REF964	52.173.142.244
REF965	80.211.190.216
REF969	45.72.190.123
REF972	109.226.48.53
REF974	94.177.217.52
REF976	80.12.83.150
REF977	159.242.127.220
REF978	3.96.107.200
REF979	64.253.75.30
REF980	68.183.63.188
REF981	44.198.63.189
REF982	68.36.33.45
REF983	45.76.228.241
REF985	137.74.170.168
REF986	202.61.251.72
REF987	158.140.45.77
REF988	211.14.169.43
REF989	50.25.201.67
REF990	116.80.84.230
REF991	93.70.217.152
REF992	116.203.122.135
REF994	95.179.231.28
REF997	94.177.187.40
REF998	75.60.111.137
REF999	94.177.173.53
REFA51	159.65.190.18
REFARG	45.62.246.55
REFCFR	45.62.229.77
REFCZE	46.28.109.166
REFDS6	142.47.109.166
REFDVM	212.237.34.32
REFFEI	88.105.46.59
REFGUS	45.62.249.150
REFHBN	139.144.30.222
REFHKG	42.98.121.155
REFHP3	198.211.29.4
REFILS	216.176.97.46
REFITA	46.226.178.85
REFJAR	45.33.85.235
REFJPN	152.117.141.6
REFLEF	77.68.25.66
REFNLD	90.145.156.214
REFNRW	178.202.110.145
REFOKL	72.206.35.5
REFOSK	121.93.123.128
REFPRP	18.222.190.27
REFPTA	206.189.17.7
REFRC1	91.192.92.181
REFRUS	45.147.178.46
REFSAT	149.28.241.139
REFTHA	203.150.19.24
REFTRK	130.61.84.77
REFTYO	43.233.8.33
REFUDN	133.123.200.220
REFUFO	45.92.44.45
REFUMB	79.23.185.18
REFUS1	34.75.201.117
REFUS2	34.68.104.251
REFUS3	34.125.157.223
REFUS4	34.94.168.67
REFUS5	35.235.109.69
REFUSA	35.232.145.123
REFVPS	44.31.5.10
REFWDG	149.28.200.232
REFWIT	85.214.232.205
REFWLF	217.160.144.235
REFWVV	104.238.170.124
REFYYP	183.176.193.109
REFZTA	75.74.122.203
REFZZZ	45.62.230.27
#
# End of file.
